Callsign,Frequency,,,,,,,,,,
W2NAF,15 MHz,,,,,,,,,,
Hour (UTC),Date,Date,Date,Date,Date,Date,Date,,,,
Date,5/8/2024,5/9/2024,5/14/2024,5/20/2024,5/25/2024,5/28/2024,5/29/2024,,,,
Hour (UTC),Doppler (Hz),Doppler (Hz),Doppler (Hz),Doppler (Hz),Doppler (Hz),Doppler (Hz),Doppler (Hz),AVG Doppler (Hz),STDEV,AVG - STDEV,AVG + STDEV
2.2,-0.054409999,-0.092440002,0.08884,-0.114380002,0.154049993,-0.369929999,-0.123999998,-0.07318143,0.168793703,-0.241975133,0.095612273
2.21667,-0.052099999,-0.170420006,0.286359996,-0.118649997,0.0098,-0.311150014,-0.02256,-0.05410286,0.184737086,-0.238839946,0.130634226
2.23333,-0.030950001,-0.122189999,0.167769998,-0.120439999,-0.521860003,-0.332509995,-0.058230001,-0.145487143,0.222361116,-0.367848259,0.076873973
2.25,-0.040800001,-0.075290002,0.181060001,-0.067309998,-0.525300026,-0.201810002,-0.0176,-0.106721433,0.216755426,-0.323476859,0.110033994
2.26667,-0.0458,-0.061129998,0.04205,-0.071910001,-0.637000024,-0.250809997,-0.03483,-0.151347146,0.231775708,-0.383122854,0.080428562
2.28333,-0.016009999,-0.00593,0.01103,-0.086539999,-0.493770003,-0.273750007,-0.035149999,-0.128588573,0.18803394,-0.316622512,0.059445367
2.3,-0.057539999,-0.00908,0.032889999,-0.10616,-0.448419988,-0.267670006,-0.0206,-0.125225713,0.172784412,-0.298010125,0.047558698
2.31667,-0.043469999,0.01293,0.05178,-0.12252,-0.433090001,-0.1998,-0.044009998,-0.111168571,0.164653098,-0.275821669,0.053484526
2.33333,-0.027790001,0.041650001,0.02997,-0.146569997,-0.41918999,-0.246739998,0.01739,-0.107325712,0.173762097,-0.281087809,0.066436385
2.35,-0.01914,0.04033,0.00833,-0.170489997,-0.64993,-0.0999,-0.051139999,-0.134562857,0.237831612,-0.372394469,0.103268756
2.36667,-0.00666,0.02978,-0.138280004,-0.100299999,-0.65309,-0.153950006,-0.059900001,-0.154628573,0.22969467,-0.384323242,0.075066097
2.38333,-0.01536,-0.07491,-0.229629993,-0.092419997,-0.538139999,-0.337449998,-0.023399999,-0.187329998,0.193858131,-0.381188129,0.006528133
2.4,-0.035050001,-0.223079994,-0.30449,-0.078330003,-0.393920004,-0.287640005,0.030649999,-0.18455143,0.158260065,-0.342811495,-0.026291365
2.41667,-0.06098,-0.434689999,-0.289709985,-0.096139997,-0.428059995,-0.256859988,0.066529997,-0.214272852,0.190655622,-0.404928474,-0.023617231
